d001.s001.t003 bn:00108977a
d001.s010.t088 bn:00104467a
d001.s011.t001 bn:00076647n
d001.s011.t003 bn:00082705v
d001.s011.t005 bn:00020872n
d001.s011.t007 bn:00028512n
d001.s011.t009 bn:00061017n
d001.s011.t011 bn:00116360r
d001.s011.t014 bn:00084532v
d001.s011.t015 bn:00114297r
d001.s011.t024 bn:00084532v
d001.s011.t028 bn:00035907n
d001.s011.t030 bn:00018141n
d001.s012.t002 bn:00054128n
d001.s012.t003 bn:00114234r
d001.s012.t005 bn:00089246v
d001.s012.t007 bn:00031708n
d001.s012.t008 bn:00106555a
d001.s013.t003 bn:00082705v
d001.s013.t004 bn:00066070n
d001.s014.t001 bn:00076647n
d001.s014.t002 bn:00114234r
d001.s014.t004 bn:00088084v
d001.s014.t007 bn:00059908n
d001.s014.t010 bn:00027976n
d001.s014.t011 bn:00110711a
d001.s014.t014 bn:00030627n
d001.s014.t016 bn:00018141n
d001.s014.t019 bn:00015180n
d001.s015.t002 bn:00028320n
d001.s015.t003 bn:00096548a
d001.s015.t005 bn:00004628n
d001.s015.t009 bn:00054701n
d001.s015.t011 bn:00052501n
d001.s015.t012 bn:00111084a
d001.s015.t014 bn:00075374n
d001.s015.t015 bn:00098648a
d001.s015.t017 bn:00099120a
d001.s015.t020 bn:00043545n
d001.s015.t023 bn:00080831n
d001.s015.t025 bn:00061017n
d001.s015.t029 bn:00082365v
d001.s015.t031 bn:00019848n
d001.s015.t034 bn:00043484n
d001.s015.t036 bn:00061571n
d001.s015.t037 bn:00102230a
d001.s015.t040 bn:00055094n
d001.s016.t003 bn:00030721n
d001.s016.t005 bn:00084079v
d001.s016.t007 bn:00021961n
d001.s016.t008 bn:00110248a
d001.s016.t011 bn:00061017n
d001.s016.t013 bn:00089246v
d001.s016.t015 bn:00001507n
d001.s016.t017 bn:00000902n
d001.s016.t018 bn:00108546a
d001.s016.t021 bn:00035907n
d001.s016.t023 bn:00080147n
d001.s016.t027 bn:00046786n
d001.s016.t030 bn:00103689a
d001.s016.t033 bn:00047235n
d001.s016.t035 bn:00000855n
d001.s017.t002 bn:00076647n
d001.s017.t004 bn:00082705v
d001.s017.t005 bn:00116044r
d001.s017.t007 bn:00064992n
d001.s017.t010 bn:00082365v
d001.s017.t011 bn:00114246r
d001.s017.t013 bn:00054128n
d001.s017.t015 bn:00004656n
d001.s017.t019 bn:00082954v
d001.s017.t021 bn:00027565n
d001.s017.t024 bn:00051473n
d001.s017.t029 bn:00025983n
d001.s017.t031 bn:00114512r
d001.s017.t035 bn:00028320n
d001.s018.t002 bn:00107194a
d001.s018.t003 bn:00086459v
d001.s018.t005 bn:00088557v
d001.s018.t007 bn:00047235n
d001.s018.t010 bn:00084079v
d001.s018.t012 bn:00028320n
d001.s018.t015 bn:00061017n
d001.s018.t017 bn:00088078v
d001.s018.t018 bn:00003125n
d001.s018.t021 bn:00023139n
d001.s018.t022 bn:00099064a
d001.s018.t024 bn:00103595a
d001.s018.t025 bn:00021961n
d001.s018.t026 bn:00110248a
d001.s019.t001 bn:00116360r
d001.s019.t003 bn:00082418v
d001.s019.t004 bn:00082365v
d001.s019.t005 bn:00004628n
d001.s019.t007 bn:00061017n
d001.s019.t009 bn:00048242n
d001.s019.t010 bn:00107226a
d001.s019.t011 bn:00106826a
d001.s019.t013 bn:00100896a
d001.s020.t002 bn:00086682v
d001.s020.t003 bn:00116284r
d001.s020.t004 bn:00046698n
d001.s020.t006 bn:00085686v
d001.s020.t008 bn:00000489n
d001.s020.t011 bn:00017761n
d001.s020.t013 bn:00054416n
d001.s020.t016 bn:00114246r
d001.s020.t017 bn:00086008v
d001.s020.t018 bn:00021395n
d001.s020.t020 bn:00028015n
d001.s021.t002 bn:00095075v
d001.s021.t003 bn:00039187n
d001.s022.t002 bn:00064429n
d001.s022.t003 bn:00096387a
d001.s022.t005 bn:00076647n
d001.s022.t012 bn:00028872n
d001.s022.t013 bn:00100866a
d001.s022.t018 bn:00086698v
d001.s022.t020 bn:00017027n
d001.s022.t024 bn:00025966n
d001.s022.t026 bn:00027913n
d001.s022.t030 bn:00015180n
d001.s022.t033 bn:00083389v
d001.s022.t035 bn:00041942n
d001.s022.t039 bn:00004691n
d001.s023.t003 bn:00009677n
d001.s023.t006 bn:00004071n
d001.s023.t008 bn:00085761v
d001.s023.t011 bn:00035907n
d001.s023.t012 bn:00096382a
d001.s023.t014 bn:00083642v
d001.s023.t016 bn:00001128n
d001.s023.t019 bn:00031085n
d001.s023.t021 bn:00091451v
d001.s023.t024 bn:00064590n
d001.s023.t027 bn:00008788n
d001.s023.t030 bn:00018105n
d001.s023.t031 bn:00100675a
d001.s023.t036 bn:00067714n
d001.s023.t039 bn:00053801n
d001.s023.t040 bn:00103522a
d001.s023.t043 bn:00017027n
d001.s024.t002 bn:00078798n
d001.s024.t004 bn:00074790n
d001.s024.t007 bn:00084595v
d001.s024.t009 bn:00076647n
d001.s025.t005 bn:00083240v
d001.s025.t007 bn:00047235n
d001.s025.t009 bn:00054512n
d001.s025.t010 bn:00108692a
d001.s025.t011 bn:00106363a
d001.s025.t016 bn:00082720v
d001.s025.t019 bn:00074790n
d001.s025.t020 bn:00099598a
d001.s025.t021 bn:00096276a
d001.s025.t024 bn:00061017n
d001.s025.t026 bn:00116360r
d001.s025.t028 bn:00089246v
d001.s025.t029 bn:00018141n
d001.s025.t030 bn:00114297r
d001.s026.t002 bn:00085450v
d001.s026.t004 bn:00021961n
d001.s026.t006 bn:00004628n
d001.s026.t008 bn:00020872n
d001.s026.t010 bn:00028512n
d001.s026.t016 bn:00099838a
d001.s026.t018 bn:00106120a
d001.s027.t002 bn:00065555n
d001.s027.t004 bn:00047235n
d001.s027.t006 bn:00015180n
d001.s027.t008 bn:00052341n
d001.s027.t009 bn:00116360r
d001.s027.t010 bn:00096685a
d001.s027.t013 bn:00085450v
d001.s027.t015 bn:00021961n
d001.s027.t017 bn:00000855n
d001.s027.t021 bn:00045469n
d001.s027.t024 bn:00028872n
d001.s027.t031 bn:00074790n
d001.s027.t032 bn:00096276a
d001.s027.t035 bn:00061017n
d001.s027.t037 bn:00027546n
d001.s027.t038 bn:00116147r
d001.s027.t039 bn:00096528a
d001.s027.t041 bn:00106664a
d001.s027.t044 bn:00089246v
d001.s027.t045 bn:00018141n
d001.s027.t046 bn:00114297r
d001.s028.t001 bn:00004628n
d001.s028.t002 bn:00114246r
d001.s028.t004 bn:00085450v
d001.s028.t006 bn:00028512n
d001.s028.t009 bn:00028872n
d001.s028.t012 bn:00015180n
d001.s028.t017 bn:00020872n
d001.s028.t019 bn:00028512n
d001.s028.t023 bn:00074790n
d001.s028.t026 bn:00061017n
d001.s028.t028 bn:00116360r
d001.s028.t030 bn:00089246v
d001.s028.t031 bn:00018141n
d001.s028.t036 bn:00052341n
d001.s028.t037 bn:00114297r
d001.s029.t004 bn:00074790n
d001.s029.t007 bn:00023853n
d001.s029.t008 bn:00099598a
d001.s029.t010 bn:00031973n
d001.s029.t013 bn:00029888n
d001.s029.t016 bn:00077267n
d001.s029.t018 bn:00075436n
d001.s029.t021 bn:00061017n
d001.s030.t002 bn:00009905n
d001.s030.t004 bn:00083245v
d001.s030.t005 bn:00088078v
d001.s030.t006 bn:00054144n
d001.s030.t009 bn:00074790n
d001.s031.t002 bn:00106124a
d001.s031.t004 bn:00077267n
d001.s031.t006 bn:00030811n
d001.s031.t009 bn:00061017n
d001.s031.t011 bn:00054512n
d001.s031.t012 bn:00108692a
d001.s031.t013 bn:00106363a
d001.s032.t002 bn:00061017n
d001.s032.t004 bn:00087863v
d001.s032.t005 bn:00041942n
d001.s032.t007 bn:00028512n
d001.s032.t008 bn:00087617v
d001.s032.t013 bn:00055794n
d001.s032.t017 bn:00030811n
d001.s032.t020 bn:00027549n
d001.s032.t021 bn:00112090a
d001.s032.t022 bn:00114234r
d001.s033.t003 bn:00047235n
d001.s033.t005 bn:00061017n
d001.s033.t007 bn:00015180n
d001.s033.t009 bn:00052341n
d001.s033.t010 bn:00116360r
d001.s033.t011 bn:00109048a
d001.s033.t013 bn:00041942n
d001.s033.t015 bn:00117043r
d001.s033.t016 bn:00102040a
d001.s033.t019 bn:00054128n
d001.s033.t021 bn:00021304n
d001.s034.t003 bn:00061017n
d001.s034.t006 bn:00089246v
d001.s034.t007 bn:00018141n
d001.s034.t008 bn:00114297r
d001.s034.t011 bn:00077267n
d001.s034.t012 bn:00097854a
d001.s034.t014 bn:00075436n
d001.s034.t018 bn:00055794n
d001.s034.t020 bn:00041942n
d001.s034.t025 bn:00075118n
d001.s035.t002 bn:00061017n
d001.s035.t004 bn:00116360r
d001.s035.t006 bn:00089246v
d001.s035.t007 bn:00114297r
d001.s035.t011 bn:00077267n
d001.s035.t012 bn:00097854a
d001.s035.t014 bn:00075436n
d001.s035.t018 bn:00055794n
d001.s035.t021 bn:00041942n
d001.s036.t004 bn:00061017n
d001.s036.t007 bn:00074790n
d001.s036.t009 bn:00015180n
d001.s036.t010 bn:00116360r
d001.s036.t011 bn:00082427v
d001.s036.t014 bn:00017027n
d001.s036.t015 bn:00104467a
d001.s036.t016 bn:00088078v
d001.s036.t018 bn:00103782a
d001.s036.t019 bn:00077267n
d001.s036.t021 bn:00030811n
d001.s036.t023 bn:00089246v
d001.s036.t024 bn:00041942n
d001.s036.t029 bn:00028872n
d001.s036.t031 bn:00021304n
d001.s037.t004 bn:00061017n
d001.s037.t006 bn:00015180n
d001.s037.t008 bn:00082427v
d001.s037.t011 bn:00017027n
d001.s037.t012 bn:00104467a
d001.s037.t013 bn:00086557v
d001.s037.t014 bn:00077267n
d001.s037.t016 bn:00030811n
d001.s037.t017 bn:00116284r
d001.s037.t018 bn:00098854a
d001.s037.t022 bn:00084532v
d001.s037.t024 bn:00000855n
d001.s037.t029 bn:00014687n
d001.s037.t030 bn:00106488a
d001.s037.t031 bn:00098096a
d001.s037.t034 bn:00049910n
d001.s037.t036 bn:00106431a
d001.s037.t037 bn:00070813n
d001.s038.t001 bn:00116382r
d001.s038.t003 bn:00025417n
d001.s038.t005 bn:00096151a
d001.s038.t007 bn:00084595v
d001.s038.t008 bn:00059128n
d001.s038.t009 bn:00110649a
d001.s038.t011 bn:00097495a
d001.s038.t013 bn:00105862a
d001.s038.t015 bn:00082705v
d001.s038.t016 bn:00046516n
d001.s038.t019 bn:00067181n
d001.s038.t021 bn:00041412n
d001.s038.t026 bn:00027151n
d001.s039.t001 bn:00116360r
d001.s039.t003 bn:00107182a
d001.s039.t004 bn:00090141v
d001.s039.t005 bn:00046516n
d001.s039.t007 bn:00089140v
d001.s039.t013 bn:00014687n
d001.s039.t014 bn:00103741a
d001.s039.t015 bn:00098096a
d001.s040.t004 bn:00009634n
d001.s040.t006 bn:00101037a
d001.s040.t008 bn:00046516n
d001.s040.t010 bn:00116382r
d001.s040.t013 bn:00082705v
d001.s040.t016 bn:00046516n
d001.s040.t019 bn:00089240v
d001.s040.t021 bn:00020452n
d001.s040.t022 bn:00106488a
d001.s041.t001 bn:00115640r
d001.s041.t003 bn:00086611v
d001.s041.t005 bn:00015775n
d001.s041.t008 bn:00081285n
d001.s041.t009 bn:00099598a
d001.s041.t022 bn:00085498v
d001.s041.t025 bn:00019101n
d001.s041.t027 bn:00022001n
d001.s041.t029 bn:00103741a
d001.s041.t035 bn:00026967n
d001.s042.t003 bn:00035022n
d001.s042.t004 bn:00084231v
d001.s042.t006 bn:00034275n
d001.s042.t008 bn:00031062n
d001.s042.t011 bn:00082273v
d001.s042.t013 bn:00036821n
d001.s042.t015 bn:00082225v
d001.s042.t017 bn:00014688n
d001.s043.t002 bn:00095375v
d001.s043.t004 bn:00088629v
d001.s043.t006 bn:00082477v
d001.s043.t007 bn:00095375v
d001.s043.t011 bn:00087681v
d001.s043.t014 bn:00085761v
d001.s043.t016 bn:00108574a
d001.s043.t019 bn:00116360r
d001.s043.t021 bn:00107182a
d001.s043.t022 bn:00090141v
d001.s044.t002 bn:00083141v
d001.s044.t004 bn:00062118n
d001.s044.t007 bn:00021164n
d001.s044.t008 bn:00100090a
d001.s044.t015 bn:00097717a
d001.s045.t002 bn:00089240v
d001.s045.t003 bn:00114246r
d001.s045.t005 bn:00000744n
d001.s045.t007 bn:00070574n
d001.s045.t009 bn:00055167n
d001.s045.t017 bn:00114047r
d001.s045.t018 bn:00110647a
d001.s045.t024 bn:00000005n
d001.s045.t027 bn:00082321v
d001.s045.t029 bn:00055233n
d001.s045.t031 bn:00056300n
d001.s045.t033 bn:00027919n
d001.s045.t039 bn:00063941n
d001.s045.t042 bn:00082705v
d001.s045.t047 bn:00026512n
d001.s046.t001 bn:00114246r
d001.s046.t004 bn:00082705v
d001.s046.t006 bn:00003057n
d001.s047.t002 bn:00063864n
d001.s047.t004 bn:00114246r
d001.s047.t006 bn:00035907n
d001.s047.t008 bn:00087778v
d001.s047.t009 bn:00068247n
d001.s047.t013 bn:00082536v
d001.s047.t014 bn:00085560v
d001.s047.t016 bn:00113501a
d001.s047.t017 bn:00098761a
d001.s047.t020 bn:00036821n
d001.s047.t026 bn:00082705v
d001.s047.t030 bn:00064072n
d001.s047.t031 bn:00103782a
d001.s047.t037 bn:00003792n
d001.s047.t038 bn:00111596a
d001.s047.t039 bn:00084231v
d001.s047.t043 bn:00084848v
d001.s047.t046 bn:00000242n
d001.s047.t050 bn:00059141n
d001.s048.t006 bn:00087116v
d001.s048.t009 bn:00059141n
d001.s048.t011 bn:00116360r
d001.s048.t019 bn:00036821n
d001.s048.t021 bn:00079373n
d001.s048.t024 bn:00085623v
d001.s048.t027 bn:00082705v
d001.s048.t029 bn:00086466v
d001.s048.t031 bn:00079508n
d001.s048.t034 bn:00113501a
d001.s048.t038 bn:00025928n
d001.s048.t040 bn:00021645n
d001.s048.t042 bn:00036821n
d001.s048.t043 bn:00101088a
d001.s048.t045 bn:00060633n
d001.s048.t048 bn:00095236v
d001.s049.t001 bn:00082536v
d001.s049.t002 bn:00086466v
d001.s049.t003 bn:00053826n
d001.s049.t004 bn:00100214a
d001.s050.t002 bn:00087681v
d001.s050.t004 bn:00021645n
d001.s050.t005 bn:00114182r
d001.s050.t007 bn:00075652n
d001.s050.t013 bn:00082705v
d001.s050.t016 bn:00114234r
d001.s050.t019 bn:00112146a
d001.s050.t023 bn:00082811v
d001.s050.t033 bn:00084931v
d001.s050.t035 bn:00000744n
d001.s050.t037 bn:00105740a
d001.s050.t038 bn:00016401n
d001.s050.t040 bn:00095886a
d001.s050.t041 bn:00000004n
d001.s050.t044 bn:00082705v
d001.s050.t046 bn:00086466v
d001.s050.t048 bn:00022129n
d001.s051.t002 bn:00114047r
d001.s051.t003 bn:00113455a
d001.s051.t006 bn:00000561n
d001.s051.t008 bn:00095823v
d001.s051.t010 bn:00036821n
d001.s051.t011 bn:00101088a
d001.s051.t013 bn:00060633n
d001.s052.t001 bn:00114424r
d001.s052.t003 bn:00086370v
d001.s052.t005 bn:00091361v
d001.s052.t007 bn:00079373n
d001.s052.t008 bn:00084528v
d001.s052.t010 bn:00046516n
d001.s052.t013 bn:00004451n
d001.s052.t015 bn:00101973a
d001.s052.t020 bn:00091550v
d001.s052.t021 bn:00059128n
d001.s052.t023 bn:00036821n
d001.s052.t032 bn:00036821n
d001.s052.t033 bn:00112111a
d001.s053.t001 bn:00116360r
d001.s053.t002 bn:00085860v
d001.s053.t004 bn:00078798n
d001.s053.t006 bn:00036821n
d001.s054.t002 bn:00082705v
d001.s054.t008 bn:00076924n
d001.s054.t011 bn:00083240v
d001.s054.t013 bn:00059141n
d001.s054.t016 bn:00022002n
d001.s054.t020 bn:00117043r
d001.s054.t021 bn:00113455a
d001.s054.t024 bn:00014687n
d001.s055.t001 bn:00115640r
d001.s055.t002 bn:00089240v
d001.s055.t004 bn:00051508n
d001.s055.t007 bn:00079581n
d001.s055.t008 bn:00101021a
d001.s056.t002 bn:00091986v
d001.s056.t004 bn:00019848n
d001.s056.t011 bn:00085360v
d001.s056.t013 bn:00026834n
d001.s056.t018 bn:00082553v
d001.s056.t020 bn:00079508n
d001.s056.t024 bn:00035907n
d001.s056.t026 bn:00084240v
d001.s056.t028 bn:00066893n
d001.s057.t002 bn:00087594v
d001.s057.t004 bn:00032395n
d001.s057.t007 bn:00079508n
d001.s057.t010 bn:00113501a
d001.s057.t014 bn:00084769v
d001.s057.t016 bn:00092850v
d001.s057.t018 bn:00105740a
d001.s057.t019 bn:00004452n
d001.s058.t001 bn:00005677n
d001.s058.t002 bn:00056688n
d001.s058.t003 bn:00107267a
d001.s059.t001 bn:00088572v
d001.s059.t003 bn:00030959n
d001.s060.t001 bn:00071063n
d001.s060.t003 bn:00090165v
d001.s060.t005 bn:00012062n
d001.s061.t001 bn:00087823v
d001.s061.t003 bn:00020945n
d001.s061.t006 bn:00005449n
d001.s061.t008 bn:00021751n
d001.s061.t009 bn:00100306a
d001.s062.t002 bn:00113455a
d001.s062.t006 bn:00086682v
d001.s062.t008 bn:00086466v
d001.s062.t010 bn:00050969n
d001.s062.t012 bn:00092413v
d001.s062.t014 bn:00081568n
d001.s062.t015 bn:00097192a
d001.s063.t001 bn:00071063n
d001.s063.t003 bn:00091983v
d001.s063.t005 bn:00012062n
d001.s064.t001 bn:00089407v
d001.s064.t003 bn:00020945n
d001.s064.t006 bn:00087679v
d001.s064.t009 bn:00085409v
d001.s064.t011 bn:00070689n
d001.s064.t017 bn:00082705v
d001.s065.t001 bn:00084080v
d001.s065.t003 bn:00005449n
d001.s065.t005 bn:00076732n
d001.s065.t008 bn:00085831v
d001.s065.t009 bn:00082705v
d001.s065.t011 bn:00029774n
d001.s065.t016 bn:00046516n
d001.s066.t001 bn:00071063n
d001.s066.t003 bn:00091983v
d001.s066.t005 bn:00066574n
d001.s067.t001 bn:00091983v
d001.s067.t003 bn:00066574n
d001.s067.t007 bn:00004452n
d001.s067.t010 bn:00005449n
d001.s067.t011 bn:00045087n
d001.s067.t014 bn:00092023v
d001.s067.t016 bn:00092023v
d001.s068.t001 bn:00071063n
d001.s068.t003 bn:00085360v
d001.s069.t001 bn:00085187v
d001.s069.t003 bn:00013235n
d001.s070.t002 bn:00082317v
d001.s070.t004 bn:00103741a
d001.s070.t012 bn:00087106v
d001.s070.t014 bn:00088912v
d001.s070.t017 bn:00035022n
d001.s070.t021 bn:00115640r
d001.s070.t022 bn:00091986v
d001.s070.t029 bn:00082536v
d001.s070.t032 bn:00107267a
d001.s070.t033 bn:00036821n
d001.s071.t002 bn:00070570n
d001.s071.t004 bn:00085427v
d001.s071.t006 bn:00017904n
d001.s071.t008 bn:00076732n
d001.s071.t010 bn:00031062n
d001.s071.t014 bn:00082273v
d001.s071.t016 bn:00036822n
d001.s072.t002 bn:00086682v
d001.s072.t003 bn:00082705v
d001.s072.t005 bn:00036821n
d001.s072.t007 bn:00112217a
d001.s072.t009 bn:00116360r
d001.s072.t011 bn:00107182a
d001.s072.t014 bn:00091006v
d001.s073.t003 bn:00087679v
d001.s073.t005 bn:00036821n
d001.s073.t007 bn:00091986v
d001.s073.t009 bn:00014306n
d001.s073.t010 bn:00082199v
d001.s073.t012 bn:00086525v
d001.s073.t014 bn:00041412n
d001.s073.t017 bn:00081285n
d001.s073.t018 bn:00099598a
d001.s074.t002 bn:00108829a
d001.s074.t003 bn:00087248v
d001.s074.t005 bn:00041412n
d001.s074.t009 bn:00006384n
d001.s075.t003 bn:00082705v
d001.s075.t004 bn:00114626r
d001.s075.t006 bn:00014306n
d001.s075.t007 bn:00082317v
d001.s075.t010 bn:00082811v
d001.s075.t013 bn:00033729n
d001.s075.t014 bn:00101698a
d001.s076.t002 bn:00082357v
d001.s076.t004 bn:00020726n
d001.s076.t007 bn:00041412n
d001.s077.t002 bn:00036064n
d001.s077.t004 bn:00089817v
d001.s077.t005 bn:00116085r
d001.s077.t008 bn:00068578n
d001.s077.t011 bn:00021721n
d001.s077.t014 bn:00101014a
d001.s077.t015 bn:00017557n
d001.s078.t001 bn:00082907v
d001.s078.t002 bn:00116284r
d001.s078.t005 bn:00060798n
d001.s078.t007 bn:00067192n
d001.s078.t010 bn:00099598a
d001.s078.t011 bn:00041942n
d001.s078.t013 bn:00047077n
d001.s078.t017 bn:00086942v
d001.s078.t018 bn:00043267n
d001.s078.t022 bn:00036823n
d001.s078.t026 bn:00001972n
d001.s078.t032 bn:00007299n
d001.s078.t033 bn:00109211a
d001.s078.t036 bn:00022352n
d001.s078.t037 bn:00110842a
d001.s078.t040 bn:00059480n
d001.s078.t041 bn:00100103a
d001.s078.t044 bn:00079184n
d001.s078.t050 bn:00079373n
d001.s079.t002 bn:00082788v
d001.s079.t005 bn:00021584n
d001.s079.t009 bn:00107194a
d001.s079.t010 bn:00082379v
d001.s079.t012 bn:00004118n
d001.s079.t013 bn:00116284r
d001.s079.t014 bn:00096366a
d001.s079.t019 bn:00079373n
d001.s079.t020 bn:00116360r
d001.s079.t022 bn:00086357v
d001.s079.t025 bn:00070652n
d001.s079.t027 bn:00021751n
d001.s079.t028 bn:00105470a
d001.s079.t032 bn:00021395n
d001.s079.t035 bn:00051045n
d001.s079.t036 bn:00102469a
d001.s080.t002 bn:00094730v
d001.s080.t003 bn:00058145n
d001.s080.t004 bn:00114246r
d001.s080.t007 bn:00027862n
d001.s080.t009 bn:00036823n
d001.s080.t011 bn:00087832v
d001.s080.t013 bn:00032645n
d001.s081.t003 bn:00088818v
d001.s081.t008 bn:00102440a
d001.s081.t011 bn:00055180n
d001.s081.t012 bn:00110978a
d001.s081.t015 bn:00110842a
d001.s081.t018 bn:00021248n
d001.s081.t019 bn:00097829a
d001.s081.t028 bn:00074900n
d001.s081.t030 bn:00032152n
d001.s081.t031 bn:00110842a
d001.s081.t034 bn:00098342a
d001.s081.t035 bn:00017557n
d001.s081.t038 bn:00032645n
d001.s081.t039 bn:00109211a
d001.s081.t041 bn:00064837n
d001.s082.t002 bn:00036064n
d001.s082.t003 bn:00092023v
d001.s082.t004 bn:00116085r
d001.s082.t007 bn:00003268n
d001.s082.t009 bn:00049573n
d001.s082.t010 bn:00018907n
d001.s082.t012 bn:00074790n
d001.s082.t013 bn:00100121a
d001.s082.t018 bn:00082195v
d001.s082.t021 bn:00025966n
d001.s082.t023 bn:00030844n
d001.s082.t024 bn:00101412a
d001.s082.t026 bn:00089511v
d001.s082.t028 bn:00049571n
d001.s082.t030 bn:00089667v
d001.s082.t033 bn:00037027n
d001.s083.t002 bn:00074790n
d001.s083.t004 bn:00083141v
d001.s083.t007 bn:00047238n
d001.s083.t008 bn:00108488a
d001.s083.t010 bn:00111630a
d001.s083.t011 bn:00018319n
d001.s083.t014 bn:00022352n
d001.s083.t015 bn:00110842a
d001.s083.t019 bn:00014731n
d001.s083.t021 bn:00047203n
d001.s083.t023 bn:00104680a
d001.s083.t024 bn:00059480n
d001.s083.t025 bn:00101680a
d001.s083.t028 bn:00023235n
d001.s083.t029 bn:00102440a
d001.s084.t002 bn:00046575n
d001.s084.t004 bn:00002936n
d001.s084.t007 bn:00070206n
d001.s084.t008 bn:00008379n
d001.s084.t010 bn:00089661v
d001.s084.t011 bn:00114246r
d001.s084.t013 bn:00007026n
d001.s084.t016 bn:00046143n
d001.s085.t002 bn:00099598a
d001.s085.t003 bn:00059275n
d001.s085.t006 bn:00021721n
d001.s085.t008 bn:00032152n
d001.s085.t009 bn:00083181v
d001.s085.t012 bn:00050521n
d001.s085.t014 bn:00067808n
d001.s085.t016 bn:00098606a
d001.s085.t017 bn:00110076a
d001.s085.t019 bn:00011651n
d001.s085.t020 bn:00103507a
d001.s085.t022 bn:00030616n
d001.s085.t024 bn:00025569n
d001.s085.t025 bn:00081600n
d001.s085.t028 bn:00110842a
d001.s085.t036 bn:00021015n
d001.s085.t039 bn:00060767n
d001.s085.t040 bn:00097092a
d001.s085.t043 bn:00026427n
d001.s085.t046 bn:00102440a
d001.s085.t050 bn:00046516n
d001.s085.t052 bn:00079435n
d001.s085.t060 bn:00102001a
d001.s085.t062 bn:00110842a
d001.s086.t003 bn:00067181n
d001.s086.t004 bn:00107137a
d001.s086.t006 bn:00089660v
d001.s086.t011 bn:00031009n
d001.s086.t013 bn:00098282a
d001.s086.t014 bn:00092635v
d001.s086.t015 bn:00061054n
d001.s086.t017 bn:00063329n
d001.s086.t019 bn:00001549n
d001.s086.t022 bn:00030626n
d001.s086.t025 bn:00041853n
d001.s086.t028 bn:00026696n
d001.s086.t029 bn:00109067a
