d001.s001.t002 bn:00028015n
d001.s009.t025 bn:00084069v
d001.s010.t001 bn:00602447n
d001.s010.t004 bn:00577781n
d001.s010.t005 bn:00577781n
d001.s010.t010 bn:00054128n
d001.s010.t011 bn:00097220a
d001.s010.t012 bn:00097220a
d001.s010.t016 bn:00015180n
d001.s010.t021 bn:00096871a
d001.s010.t023 bn:00059129n
d001.s010.t025 bn:00092783v
d001.s010.t029 bn:00106363a
d001.s010.t032 bn:00108011a
d001.s010.t033 bn:00021395n
d001.s010.t034 bn:00011744n
d001.s010.t035 bn:00092083v
d001.s010.t037 bn:00105981a
d001.s010.t039 bn:00115155r
d001.s010.t040 bn:00092083v
d001.s010.t043 bn:00082705v
d001.s010.t046 bn:00018141n
d001.s010.t048 bn:00054128n
d001.s010.t049 bn:00015180n
d001.s010.t054 bn:00015180n
d001.s010.t055 bn:00052341n
d001.s010.t056 bn:00017027n
d001.s010.t059 bn:00096528a
d001.s010.t061 bn:00106664a
d001.s010.t062 bn:00087863v
d001.s010.t066 bn:00017027n
d001.s010.t068 bn:00082427v
d001.s010.t069 bn:00082427v
d001.s011.t001 bn:00602447n
d001.s011.t003 bn:00020872n
d001.s011.t005 bn:00577781n
d001.s011.t006 bn:00577781n
d001.s011.t008 bn:00061017n
d001.s011.t012 bn:00084532v
d001.s011.t014 bn:00116360r
d001.s011.t019 bn:00061017n
d001.s011.t022 bn:00060927n
d001.s011.t023 bn:00078798n
d001.s011.t026 bn:00018141n
d001.s011.t028 bn:00087863v
d001.s011.t030 bn:00082705v
d001.s012.t001 bn:00054128n
d001.s012.t002 bn:00116450r
d001.s012.t004 bn:00064195n
d001.s012.t005 bn:00082276v
d001.s012.t006 bn:00082276v
d001.s013.t001 bn:00602447n
d001.s013.t003 bn:00082705v
d001.s014.t001 bn:00602447n
d001.s014.t002 bn:00116450r
d001.s014.t005 bn:00059908n
d001.s014.t006 bn:00027976n
d001.s014.t009 bn:00030627n
d001.s014.t011 bn:00018141n
d001.s014.t012 bn:00097220a
d001.s014.t013 bn:00097220a
d001.s014.t014 bn:00088826v
d001.s015.t001 bn:00028320n
d001.s015.t002 bn:00084373v
d001.s015.t003 bn:00602447n
d001.s015.t005 bn:00054701n
d001.s015.t009 bn:00052501n
d001.s015.t010 bn:00070132n
d001.s015.t012 bn:00075374n
d001.s015.t013 bn:00011744n
d001.s015.t015 bn:00084373v
d001.s015.t016 bn:00114629r
d001.s015.t017 bn:00043545n
d001.s015.t019 bn:00080831n
d001.s015.t020 bn:00061017n
d001.s016.t001 bn:00102467a
d001.s016.t003 bn:00043484n
d001.s016.t004 bn:00115811r
d001.s016.t007 bn:00046734n
d001.s016.t009 bn:00087620v
d001.s016.t011 bn:00087620v
d001.s016.t013 bn:00055094n
d001.s016.t014 bn:00088826v
d001.s017.t002 bn:00084079v
d001.s017.t003 bn:00029874n
d001.s017.t006 bn:00061017n
d001.s017.t008 bn:00001507n
d001.s017.t010 bn:00000902n
d001.s017.t013 bn:00078798n
d001.s017.t014 bn:00080147n
d001.s017.t016 bn:00085689v
d001.s017.t021 bn:00047235n
d001.s017.t023 bn:00602447n
d001.s017.t025 bn:00080147n
d001.s017.t029 bn:00046785n
d001.s018.t002 bn:00602447n
d001.s018.t004 bn:00577781n
d001.s018.t005 bn:00577781n
d001.s018.t006 bn:00088826v
d001.s018.t009 bn:00054128n
d001.s018.t014 bn:00088454v
d001.s018.t016 bn:00083115v
d001.s018.t019 bn:00035426n
d001.s018.t022 bn:00088454v
d001.s018.t024 bn:00025983n
d001.s018.t025 bn:00025983n
d001.s018.t026 bn:00025983n
d001.s018.t028 bn:00114246r
d001.s018.t030 bn:00114512r
d001.s018.t032 bn:00114165r
d001.s018.t034 bn:00028320n
d001.s018.t035 bn:00577781n
d001.s018.t036 bn:00577781n
d001.s018.t037 bn:00088826v
d001.s019.t002 bn:00061017n
d001.s019.t004 bn:00023139n
d001.s019.t005 bn:00011346n
d001.s019.t007 bn:00096158a
d001.s019.t010 bn:00029874n
d001.s019.t011 bn:00023139n
d001.s019.t012 bn:00099474a
d001.s019.t013 bn:00088745v
d001.s019.t015 bn:00047235n
d001.s019.t018 bn:00086514v
d001.s019.t021 bn:00083908v
d001.s019.t024 bn:00028320n
d001.s019.t025 bn:00084079v
d001.s020.t001 bn:00030627n
d001.s020.t003 bn:00602447n
d001.s020.t005 bn:00061017n
d001.s020.t007 bn:00106826a
d001.s020.t008 bn:00048242n
d001.s020.t009 bn:00049083n
d001.s020.t010 bn:00106826a
d001.s020.t012 bn:00110473a
d001.s020.t013 bn:00082418v
d001.s020.t014 bn:00116360r
d001.s021.t002 bn:00025314n
d001.s021.t003 bn:00106935a
d001.s021.t006 bn:00075142n
d001.s021.t008 bn:00064584n
d001.s021.t010 bn:00114246r
d001.s021.t011 bn:00021395n
d001.s021.t016 bn:00087787v
d001.s022.t001 bn:00602447n
d001.s023.t001 bn:00074986n
d001.s023.t002 bn:00096387a
d001.s023.t003 bn:00602447n
d001.s023.t005 bn:00602447n
d001.s023.t008 bn:00054128n
d001.s023.t009 bn:00100866a
d001.s023.t011 bn:00054128n
d001.s023.t013 bn:00017027n
d001.s023.t016 bn:00087100v
d001.s023.t018 bn:00017027n
d001.s023.t019 bn:00015180n
d001.s023.t022 bn:00090098v
d001.s023.t023 bn:00090098v
d001.s023.t028 bn:00018111n
d001.s023.t029 bn:00004691n
d001.s023.t030 bn:00083389v
d001.s023.t031 bn:00083389v
d001.s024.t002 bn:00011744n
d001.s024.t004 bn:00602447n
d001.s024.t006 bn:00035913n
d001.s024.t007 bn:00096382a
d001.s024.t008 bn:00085761v
d001.s024.t009 bn:00085761v
d001.s024.t011 bn:00001130n
d001.s024.t012 bn:00031085n
d001.s024.t016 bn:00084082v
d001.s024.t017 bn:00008788n
d001.s024.t018 bn:00089893v
d001.s024.t021 bn:00013726n
d001.s024.t022 bn:00013726n
d001.s024.t023 bn:00026301n
d001.s024.t025 bn:00067714n
d001.s024.t027 bn:00053801n
d001.s024.t028 bn:00103522a
d001.s024.t029 bn:00017027n
d001.s024.t032 bn:00083623v
d001.s024.t033 bn:00083623v
d001.s025.t001 bn:00602447n
d001.s025.t004 bn:00082596v
d001.s025.t006 bn:00082596v
d001.s026.t002 bn:00047235n
d001.s026.t003 bn:00054512n
d001.s026.t005 bn:00108692a
d001.s026.t007 bn:00602447n
d001.s026.t010 bn:00074790n
d001.s026.t011 bn:00099598a
d001.s026.t015 bn:00061017n
d001.s026.t017 bn:00114512r
d001.s026.t018 bn:00018141n
d001.s026.t020 bn:00027546n
d001.s026.t022 bn:00087863v
d001.s026.t023 bn:00116360r
d001.s026.t026 bn:00082596v
d001.s026.t028 bn:00082596v
d001.s027.t001 bn:00029874n
d001.s027.t002 bn:00602447n
d001.s027.t004 bn:00020872n
d001.s027.t006 bn:00577781n
d001.s027.t007 bn:00577781n
d001.s027.t009 bn:00577781n
d001.s027.t010 bn:00577781n
d001.s027.t012 bn:00114234r
d001.s027.t013 bn:00085450v
d001.s028.t002 bn:00047235n
d001.s028.t003 bn:00015180n
d001.s028.t004 bn:00052341n
d001.s028.t005 bn:00017027n
d001.s028.t009 bn:00029874n
d001.s028.t010 bn:00602447n
d001.s028.t013 bn:01537207n
d001.s028.t016 bn:00054128n
d001.s028.t017 bn:00097220a
d001.s028.t018 bn:00097220a
d001.s028.t023 bn:00074790n
d001.s028.t024 bn:00089893v
d001.s028.t025 bn:00089893v
d001.s028.t027 bn:00061017n
d001.s028.t030 bn:00027546n
d001.s028.t031 bn:00096528a
d001.s028.t032 bn:00116147r
d001.s028.t034 bn:00106664a
d001.s028.t038 bn:00060927n
d001.s028.t039 bn:00018141n
d001.s028.t040 bn:00087863v
d001.s028.t042 bn:00085450v
d001.s029.t001 bn:00602447n
d001.s029.t002 bn:00114246r
d001.s029.t004 bn:00848690n
d001.s029.t006 bn:00089893v
d001.s029.t009 bn:00054128n
d001.s029.t010 bn:00097220a
d001.s029.t011 bn:00097220a
d001.s029.t017 bn:00020872n
d001.s029.t019 bn:00577781n
d001.s029.t020 bn:00577781n
d001.s029.t023 bn:00074790n
d001.s029.t024 bn:00089893v
d001.s029.t026 bn:00061017n
d001.s029.t029 bn:00060927n
d001.s029.t030 bn:00018141n
d001.s029.t032 bn:00015180n
d001.s029.t033 bn:00052341n
d001.s029.t034 bn:00087863v
d001.s029.t035 bn:00116360r
d001.s029.t037 bn:00085450v
d001.s030.t004 bn:00067181n
d001.s030.t006 bn:00054019n
d001.s030.t007 bn:00099598a
d001.s030.t008 bn:00029876n
d001.s030.t010 bn:00116153r
d001.s030.t011 bn:00085382v
d001.s030.t013 bn:00061017n
d001.s031.t001 bn:00602447n
d001.s031.t004 bn:00074790n
d001.s031.t006 bn:00037022n
d001.s031.t008 bn:00086567v
d001.s032.t001 bn:00602447n
d001.s032.t002 bn:00077268n
d001.s032.t003 bn:00030811n
d001.s032.t004 bn:00061017n
d001.s032.t005 bn:13663133n
d001.s032.t007 bn:00054512n
d001.s032.t008 bn:00106363a
d001.s032.t009 bn:00054512n
d001.s032.t011 bn:00089667v
d001.s033.t001 bn:00061017n
d001.s033.t003 bn:00602447n
d001.s033.t005 bn:00577781n
d001.s033.t006 bn:00577781n
d001.s033.t007 bn:00087863v
d001.s033.t011 bn:00054001n
d001.s033.t015 bn:00055794n
d001.s033.t016 bn:00085382v
d001.s033.t017 bn:00085382v
d001.s033.t020 bn:00085450v
d001.s033.t028 bn:00114235r
d001.s033.t029 bn:00577781n
d001.s033.t030 bn:00577781n
d001.s033.t037 bn:00055794n
d001.s034.t002 bn:00047235n
d001.s034.t003 bn:00061017n
d001.s034.t006 bn:00015180n
d001.s034.t007 bn:00052341n
d001.s034.t008 bn:00017027n
d001.s034.t012 bn:00602447n
d001.s034.t013 bn:00114354r
d001.s034.t014 bn:00114354r
d001.s034.t017 bn:00102038a
d001.s035.t002 bn:00061017n
d001.s035.t005 bn:00060927n
d001.s035.t006 bn:00018141n
d001.s035.t007 bn:00087863v
d001.s035.t010 bn:00097854a
d001.s035.t011 bn:00077268n
d001.s035.t012 bn:00030811n
d001.s035.t014 bn:00602447n
d001.s035.t018 bn:00055794n
d001.s035.t020 bn:00085450v
d001.s035.t025 bn:00055794n
d001.s035.t027 bn:01537207n
d001.s036.t002 bn:00061017n
d001.s036.t005 bn:00060927n
d001.s036.t006 bn:00018141n
d001.s036.t007 bn:00087863v
d001.s036.t008 bn:00116360r
d001.s036.t010 bn:00097854a
d001.s036.t011 bn:00077268n
d001.s036.t012 bn:00030811n
d001.s036.t016 bn:00041942n
d001.s036.t020 bn:00055794n
d001.s037.t003 bn:00114627r
d001.s037.t008 bn:00074790n
d001.s037.t010 bn:00061017n
d001.s037.t012 bn:00015180n
d001.s037.t014 bn:00017027n
d001.s037.t018 bn:00082427v
d001.s037.t020 bn:00116360r
d001.s037.t025 bn:00602447n
d001.s037.t027 bn:00077268n
d001.s037.t028 bn:00030811n
d001.s037.t029 bn:00106124a
d001.s037.t035 bn:00088078v
d001.s038.t002 bn:00022261n
d001.s038.t004 bn:00061017n
d001.s038.t006 bn:00015180n
d001.s038.t008 bn:00017027n
d001.s038.t012 bn:00082427v
d001.s038.t014 bn:00082427v
d001.s038.t019 bn:00602447n
d001.s038.t021 bn:00077268n
d001.s038.t022 bn:00030811n
d001.s038.t023 bn:00110561a
d001.s038.t024 bn:00088078v
d002.s001.t001 bn:14324775n
d002.s001.t003 bn:00946167n
d002.s001.t004 bn:00106488a
d002.s001.t006 bn:00083141v
d002.s001.t007 bn:00053491n
d002.s001.t008 bn:00453494n
d002.s001.t009 bn:00213650n
d002.s001.t010 bn:03313895n
d002.s002.t001 bn:00116382r
d002.s002.t002 bn:00099215a
d002.s002.t004 bn:00090557v
d002.s002.t005 bn:00053826n
d002.s002.t006 bn:03313895n
d002.s002.t007 bn:00102111a
d002.s002.t009 bn:00097495a
d002.s002.t011 bn:00106117a
d002.s002.t014 bn:00027670n
d002.s002.t015 bn:00041412n
d002.s002.t017 bn:00027152n
d002.s002.t019 bn:00000102n
d002.s003.t002 bn:00114118r
d002.s003.t004 bn:00082705v
d002.s003.t006 bn:08534138n
d002.s003.t007 "bn:00026107n "
d002.s003.t009 bn:00085261v
d002.s003.t010 bn:03313895n
d002.s003.t011 bn:00116360r
d002.s004.t001 bn:08534138n
d002.s004.t003 bn:00946167n
d002.s004.t004 bn:00041412n
d002.s004.t005 bn:00083141v
d002.s004.t007 bn:03313895n
d002.s005.t003 bn:00114055r
d002.s005.t005 bn:00091201v
d002.s005.t006 bn:03313895n
d002.s005.t007 bn:00083186v
d002.s005.t009 bn:00114424r
d002.s005.t010 bn:13601970v
d002.s005.t013 bn:00061450n
d002.s005.t015 bn:00020452n
d002.s005.t016 bn:00106058a
d002.s005.t017 bn:00106488a
d002.s005.t019 bn:00082705v
d002.s006.t002 bn:00115639r
d002.s006.t004 bn:01157212n
d002.s006.t007 bn:00081292n
d002.s006.t008 bn:00099598a
d002.s006.t009 bn:08534138n
d002.s006.t010 bn:00087013v
d002.s007.t001 bn:00081292n
d002.s007.t002 bn:00099598a
d002.s007.t003 "bn:14324775n "
d002.s008.t001 bn:00081292n
d002.s008.t002 bn:00099598a
d002.s008.t003 bn:08534138n
d002.s008.t004 bn:00085498v
d002.s008.t006 bn:00120018n
d002.s008.t007 bn:00020949n
d002.s008.t010 bn:00120018n
d002.s008.t011 bn:00041412n
d002.s008.t013 d002.s008.t011
d002.s008.t016 bn:00120018n
d002.s008.t017 bn:00041412n
d002.s008.t018 bn:00000102n
d002.s008.t019 bn:00000102n
d002.s008.t022 bn:00120018n
d002.s008.t023 bn:00026967n
d002.s008.t024 bn:00085498v
d002.s009.t001 bn:00114401r
d002.s009.t002 bn:00114401r
d002.s009.t004 bn:00014688n
d002.s009.t006 bn:00034274n
d002.s009.t007 bn:00046850n
d002.s009.t009 bn:00095295v
d002.s009.t010 bn:00036821n
d002.s009.t012 bn:00087107v
d002.s009.t013 bn:00014688n
d002.s009.t016 "bn:00086708v "
d002.s010.t002 bn:00086682v
d002.s010.t003 bn:00092443v
d002.s010.t007 bn:00088629v
d002.s010.t009 bn:00098274a
d002.s010.t010 bn:00076919n
d002.s010.t012 bn:13601970v
d002.s010.t014 bn:00087107v
d002.s010.t019 bn:00082472v
d002.s010.t020 bn:00046850n
d002.s010.t023 bn:03313895n
d002.s010.t024 bn:00084772v
d002.s010.t025 bn:00084772v
d002.s010.t028 "bn:00026107n "
d002.s010.t030 bn:00085261v
d002.s010.t031 bn:03313895n
d002.s010.t032 bn:00116360r
d002.s011.t002 bn:00114508r
d002.s011.t003 bn:02561609n
d002.s011.t006 bn:00083141v
d002.s011.t007 bn:00021164n
d002.s011.t010 bn:00083141v
d002.s011.t012 bn:00056508n
d002.s011.t014 bn:02268723n
d002.s011.t015 bn:00101358a
d002.s011.t016 bn:00083181v
d002.s012.t002 bn:00114748r
d002.s012.t003 bn:00114748r
d002.s012.t005 bn:03857246n
d002.s012.t007 bn:02561609n
d002.s012.t008 bn:03668936n
d002.s012.t010 bn:00090448v
d002.s012.t014 bn:00116789r
d002.s012.t015 bn:00096782a
d002.s012.t018 bn:00090452v
d002.s013.t001 bn:00031485n
d002.s014.t005 "bn:00032355n "
d002.s014.t007 bn:13601970v
d002.s014.t012 bn:00082705v
d002.s015.t001 bn:00114246r
d002.s015.t002 "bn:00063739n "
d002.s015.t003 bn:00005092n
d002.s015.t005 bn:09438926n
d002.s015.t006 bn:02529895n
d002.s016.t001 bn:00032355n
d002.s016.t002 bn:00114246r
d002.s016.t005 bn:00001965n
d002.s016.t006 "bn:00023654n "
d002.s016.t007 bn:00068247n
d002.s017.t003 bn:00001965n
d002.s017.t005 "bn:00026650n "
d002.s017.t006 bn:00079583n
d002.s017.t007 bn:00102991a
d002.s017.t010 bn:00036821n
d002.s018.t005 "bn:00026650n "
d002.s018.t006 bn:00004489n
d002.s018.t007 bn:00104162a
d002.s018.t009 bn:00082705v
d002.s019.t007 bn:00060753n
d002.s019.t008 bn:00060753n
d002.s019.t010 bn:00036821n
d002.s019.t012 bn:00082811v
d002.s019.t013 bn:00082811v
d002.s019.t015 bn:00082813v
d002.s019.t016 bn:00082813v
d002.s019.t021 bn:00059141n
d002.s019.t024 bn:00057809n
d002.s020.t006 wn:00022585a
d002.s020.t011 bn:00095141v
d002.s020.t014 bn:00116360r
d002.s020.t017 wn:00022585a
d002.s020.t019 bn:00036821n
d002.s020.t020 bn:00079373n
d002.s020.t023 bn:00095141v
d002.s021.t005 "bn:00025928n "
d002.s021.t006 bn:00079508n
d002.s021.t007 bn:14817685n
d002.s021.t009 bn:00082705v
d002.s022.t003 bn:00025928n
d002.s022.t004 bn:00021645n
d002.s022.t005 bn:03132721n
d002.s023.t001 bn:00001965n
d002.s023.t005 bn:13601970v
d002.s023.t006 bn:00053826n
d002.s023.t007 "bn:00100214a "
d002.s023.t010 "bn:14324775n "
d002.s023.t012 bn:00086468v
d002.s024.t002 bn:00021645n
d002.s024.t008 bn:00021645n
d002.s024.t009 bn:00114626r
d002.s024.t011 bn:00116450r
d002.s024.t013 bn:00082705v
d002.s024.t015 bn:00112146a
d002.s024.t021 bn:00086708v
d002.s024.t022 bn:00086708v
d002.s024.t023 bn:00047210n
d002.s024.t026 "bn:00100214a "
d002.s024.t028 bn:00102969a
d002.s024.t029 bn:00016401n
d002.s024.t030 bn:00085363v
d002.s025.t004 bn:03305154n
d002.s025.t005 bn:03313895n
d002.s026.t001 bn:13601970v
d002.s026.t005 "bn:00025928n "
d002.s026.t006 bn:03305154n
d002.s026.t008 bn:00082705v
d002.s027.t001 bn:00114714r
d002.s027.t003 "bn:00007481n "
d002.s027.t005 bn:03132721n
d002.s027.t006 bn:00113455a
d002.s028.t001 bn:00114424r
d002.s028.t002 bn:13601970v
d002.s028.t005 bn:00082821v
d002.s028.t008 bn:00079373n
d002.s028.t009 bn:00056508n
d002.s028.t011 bn:03313895n
d002.s028.t013 bn:00090794v
d002.s029.t001 bn:00101973a
d002.s029.t006 bn:00001127n
d002.s029.t010 bn:00036821n
d002.s029.t012 bn:00022956n
d002.s029.t013 bn:00022956n
d002.s029.t014 bn:00022956n
d002.s029.t016 bn:00071709n
d002.s029.t017 bn:00071709n
d002.s029.t018 bn:00071709n
d002.s029.t021 bn:00036821n
d002.s029.t022 bn:00112111a
d002.s029.t023 bn:00108011a
d002.s029.t025 bn:00001296n
d002.s029.t026 bn:00001296n
d002.s029.t027 bn:00001296n
d002.s029.t029 bn:00053827n
d002.s029.t030 bn:00053827n
d002.s029.t031 bn:00053827n
d002.s029.t033 bn:00085744v
d002.s030.t001 bn:00085860v
d002.s030.t002 bn:00116360r
d002.s030.t004 bn:00035907n
d002.s031.t003 bn:00001296n
d002.s031.t004 bn:00001296n
d002.s031.t005 bn:00001296n
d002.s031.t007 bn:00056300n
d002.s031.t008 bn:00056300n
d002.s031.t009 bn:00056300n
d002.s031.t012 bn:00958448n
d002.s031.t014 bn:00059141n
d002.s031.t017 bn:00088078v
d002.s031.t019 bn:00082705v
d002.s032.t002 bn:08534138n
d002.s032.t004 wn:00022585a
d002.s032.t006 bn:00946167n
d002.s032.t007 bn:00113455a
d002.s033.t002 bn:00114427r
d002.s033.t003 bn:00051508n
d002.s033.t005 bn:00079583n
d002.s033.t006 bn:00101020a
d002.s033.t007 bn:00088078v
d002.s034.t002 bn:00028344n
d002.s034.t004 bn:00019758n
d002.s034.t006 bn:00059835n
d002.s034.t010 bn:00022349n
d002.s034.t011 bn:00084662v
d002.s034.t015 bn:00082536v
d002.s034.t016 bn:00082536v
d002.s034.t017 bn:00079508n
d002.s034.t021 bn:00082553v
d002.s034.t023 bn:00114626r
d002.s034.t024 bn:00001965n
d002.s034.t027 bn:00088310v
d002.s034.t028 bn:00051831n
d002.s035.t002 bn:00019848n
d002.s035.t005 bn:00032395n
d002.s035.t008 bn:00087679v
d002.s035.t010 bn:00079508n
d002.s035.t011 bn:00079583n
d002.s035.t014 bn:00105739a
d002.s035.t015 bn:00034520n
d002.s035.t017 bn:00082553v
d002.s036.t001 bn:00020947n
d002.s036.t002 bn:00056688n
d002.s036.t003 bn:00081292n
d002.s036.t004 bn:00107267a
d002.s037.t004 bn:00088368v
d002.s038.t001 bn:00020947n
d002.s038.t002 bn:00049538n
d002.s038.t003 bn:00090416v
d002.s039.t001 bn:00020945n
d002.s039.t002 bn:00097846a
d002.s039.t005 bn:00021475n
d002.s039.t008 bn:00033729n
d002.s039.t009 bn:00114819r
d002.s039.t010 bn:00082225v
d002.s039.t011 bn:00082225v
d002.s040.t001 bn:00107292a
d002.s040.t004 bn:00086682v
d002.s040.t006 bn:00050969n
d002.s040.t008 bn:00086466v
d002.s040.t010 bn:00081568n
d002.s040.t011 bn:00107791a
d002.s040.t015 bn:00092413v
d002.s041.t001 bn:00020947n
d002.s041.t002 bn:00036962n
d002.s041.t003 bn:00093281v
d002.s042.t001 bn:00020945n
d002.s042.t005 bn:03603649n
d002.s042.t006 bn:00083344v
d002.s042.t007 bn:03751534n
d002.s042.t008 bn:00095295v
d002.s042.t009 bn:00095295v
d002.s042.t010 bn:00093281v
d002.s042.t011 bn:00093281v
d002.s042.t013 "bn:27114873v "
d002.s042.t018 bn:00092558v
d002.s043.t001 bn:00021475n
d002.s043.t002 bn:00076732n
d002.s043.t004 bn:00084080v
d002.s043.t007 bn:00056508n
d002.s043.t009 "bn:00030627n "
d002.s043.t012 bn:00029775n
d002.s043.t013 bn:00076732n
d002.s043.t016 bn:03628723n
d002.s043.t021 "bn:00022324n "
d002.s043.t023 bn:00084308v
d002.s044.t001 bn:00020947n
d002.s044.t002 bn:00068673n
d002.s044.t003 bn:00093281v
d002.s044.t004 bn:00051831n
d002.s045.t001 bn:00051831n
d002.s045.t005 bn:00034520n
d002.s045.t008 bn:00600448n
d002.s045.t009 bn:00045087n
d002.s045.t010 bn:00093281v
d002.s045.t011 bn:00093281v
d002.s045.t013 bn:13601970v
d002.s045.t014 bn:00089639v
d002.s045.t017 bn:00084099v
d002.s046.t001 bn:00020947n
d002.s046.t002 bn:00065472n
d002.s046.t003 bn:00084710v
d002.s047.t001 bn:00021492n
d002.s047.t004 bn:00085164v
d002.s048.t002 "bn:00001296n "
d002.s048.t004 bn:00041412n
d002.s048.t006 bn:00027152n
d002.s048.t007 bn:00107267a
d002.s048.t009 bn:08534138n
d002.s048.t011 bn:00081568n
d002.s048.t015 bn:00087107v
d002.s048.t020 bn:00120018n
d002.s048.t022 bn:00027152n
d002.s048.t023 bn:00041412n
d002.s048.t024 bn:00088912v
d002.s048.t027 bn:00120018n
d002.s048.t028 bn:00082317v
d002.s048.t030 bn:00085114v
d002.s048.t032 bn:00036821n
d002.s048.t033 bn:00107267a
d002.s048.t035 bn:00082317v
d002.s049.t001 bn:00114281r
d002.s049.t002 bn:00007023n
d002.s049.t005 bn:00012528n
d002.s049.t006 bn:00076732n
d002.s049.t007 bn:00046850n
d002.s049.t008 bn:00088912v
d002.s049.t013 bn:00036821n
d002.s049.t017 bn:00095295v
d002.s050.t002 bn:00086682v
d002.s050.t005 bn:00036821n
d002.s050.t006 bn:00112217a
d002.s050.t007 bn:00036821n
d002.s050.t008 bn:00036821n
d002.s050.t009 bn:00036821n
d002.s050.t010 bn:00036821n
d002.s050.t012 bn:00082705v
d002.s050.t014 bn:00107182a
d002.s050.t015 bn:00116360r
d002.s050.t018 bn:00086468v
d002.s050.t019 bn:00086468v
d002.s051.t002 bn:00036821n
d002.s051.t004 bn:00087679v
d002.s051.t005 bn:00087679v
d002.s051.t007 bn:03843242n
d002.s051.t008 bn:00096817a
d002.s051.t010 bn:00085114v
d002.s051.t012 bn:00041412n
d002.s051.t014 bn:00081292n
d002.s051.t015 bn:00099598a
d002.s051.t016 bn:00087013v
d002.s051.t017 bn:00041412n
d002.s052.t002 bn:00110469a
d002.s052.t003 bn:00041412n
d002.s052.t004 bn:00041412n
d002.s052.t007 bn:00079985n
d002.s052.t008 bn:00110075a
d002.s052.t010 bn:00090224v
d002.s053.t001 bn:03603649n
d002.s053.t004 bn:00055444n
d002.s053.t005 bn:00051508n
d002.s053.t007 bn:00114626r
d002.s053.t009 bn:03843242n
d002.s053.t010 bn:00082317v
d002.s053.t012 bn:00082705v
d002.s054.t002 bn:13601970v
d002.s054.t004 bn:00041412n
d002.s054.t006 bn:00020726n
d002.s054.t007 bn:00108295a
d002.s054.t011 bn:00090224v
d003.s002.t002 bn:00036064n
d003.s002.t003 bn:00116085r
d003.s002.t005 bn:00091196v
d003.s002.t006 bn:00021721n
d003.s002.t007 bn:00089893v
d003.s002.t008 bn:13605325v
d003.s002.t012 bn:00017557n
d003.s002.t013 bn:00100676a
d003.s002.t014 bn:00084527v
d003.s003.t001 bn:00106935a
d003.s003.t004 bn:00060798n
d003.s003.t006 bn:00072536n
d003.s003.t007 bn:00047082n
d003.s003.t008 bn:00099598a
d003.s003.t011 bn:00082907v
d003.s003.t012 bn:00082907v
d003.s003.t015 bn:00109650a
d003.s003.t016 bn:00047688n
d003.s003.t018 bn:00036823n
d003.s003.t019 bn:00001177n
d003.s003.t020 bn:00099258a
d003.s003.t022 bn:00089660v
