Token ID,Token,Lemma,GSMS,Farsi Token,Farsi Lemma,POS FAR,BN Synset,Correct?,Synonyms?,BN Gloss,Token ID FAR,Annotator notes,Farsi Lemma - BN Synset,Farsi Lemma - BN Gloss,English Lemma - WN Synsets,English Lemma - WN Glosses,English Lemma - BN Synsets,English Lemma - BN Glosses
d001.s002.t015,assessed,assess,V,ارزیابی➕کرده,ارزیابی➕کرده,NOUN➕VERB,bn:00082720v,1,,"Evaluate or estimate the nature, quality, ability, extent, or significance of",d001.s002.t018➕d001.s002.t019,,,,,,,
d001.s002.t016,the,,X,,,,n/a,,,n/a,,,,,,,,
d001.s002.t017,studies,study,N,مطالعات,مطالعات,"NOUN,EZ",bn:00074790n,1,,A detailed critical inspection,d001.s002.t015,,,,,,,
d001.s002.t018,performed,perform,V,انجام‌شده,انجام‌شده,ADJ,bn:00087107v,1,,Carry out or perform an action,d001.s002.t016,,,,,,,
d001.s002.t019,",",,X,.,.,PUNCT,n/a,,,n/a,d001.s002.t031,,,,,,,
d001.s002.t020,to,,X,تا,تا,SCONJ,n/a,,,n/a,d001.s002.t020,,,,,,,
d001.s002.t021,reach,reach,V,برسد,رسید#رس,VERB,bn:00082226v,1,,To gain with effort,d001.s002.t030,,,,,,,
d001.s002.t022,their,,X,خود,خود,PRON,n/a,,,n/a,d001.s002.t023,,,,,,,
d001.s002.t023,recommendations,recommendation,N,توصیه‌های,توصیه,"NOUN,EZ",bn:00066562n,1,,Something (as a course of action) that is recommended as advisable,d001.s002.t022,,,,,,,
d001.s002.t024,on,,X,مورد,مورد,"NOUN,EZ",n/a,,,n/a,d001.s002.t025,,,,,,,
d001.s002.t025,how,,X,نحوه,نحوه,"NOUN,EZ",n/a,,,n/a,d001.s002.t026,,,,,,,
d001.s002.t026,to,,X,در,در,ADP,n/a,,,n/a,d001.s002.t024,,,,,,,
d001.s002.t027,use,use,V,استفاده,استفاده,NOUN,bn:00082705v,1,,Put into service; make work or employ for a particular purpose or for its inherent or natural purpose,d001.s002.t027,,,,,,,
d001.s002.t028,the,,X,از,از,ADP,n/a,,,n/a,d001.s002.t028,,,,,,,
d001.s002.t029,medicine,medicine,N,دارو,دارو,NOUN,bn:00054128n,1,,(medicine) something that treats or prevents or alleviates the symptoms of disease,d001.s002.t029,,,,,,,
d001.s002.t030,.,,X,.,.,PUNCT,n/a,,,n/a,d001.s002.t031,,,,,,,
d001.s003.t001,If,,X,اگر,اگر,SCONJ,n/a,,,n/a,d001.s003.t001,,,,,,,
d001.s003.t002,you,,X,دارید,داشت#دار,VERB,n/a,,,n/a,d001.s003.t013,,,,,,,
d001.s003.t003,need,need,V,نیاز,نیاز,NOUN,bn:00091028v,1,,Have need of,d001.s003.t012,,,,,,,
d001.s003.t004,more,more,J,بیشتری,بیشتری,ADJ,bn:00106935a,1,,(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree,d001.s003.t004,Wrong Lemmatization.,,,,,,
d001.s003.t005,information,information,N,اطلاعات,اطلاعات,"NOUN,EZ",bn:00025314n,1,,A collection of facts from which conclusions may be drawn,d001.s003.t003,,,,,,,
d001.s003.t006,about,,X,مورد,مورد,"NOUN,EZ",n/a,,,n/a,d001.s003.t006,,,,,,,
d001.s003.t007,your,,X,خود,خود,PRON,n/a,,,n/a,d001.s003.t011,,,,,,,
d001.s003.t008,medical,medical,J,پزشکی,پزشکی,NOUN,bn:00106555a,1,,Requiring or amenable to treatment by medicine especially as opposed to surgery,d001.s003.t008,,,,,,,
d001.s003.t009,condition,condition,N,وضعیت,وضعیت,"NOUN,EZ",bn:00021648n,1,,"An illness, disease, or other medical problem",d001.s003.t007,,,,,,,
d001.s003.t010,or,,X,یا,یا,CCONJ,n/a,,,n/a,d001.s003.t009,,,,,,,
d001.s003.t011,your,,X,بگیرید,گرفت#گیر,VERB,n/a,,,n/a,d001.s003.t033,,,,,,,
d001.s003.t012,treatment,treatment,N,درمان,درمان,"NOUN,EZ",bn:00047235n,1,,Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),d001.s003.t010,,,,,,,
d001.s003.t013,",",,X,،➕.,،➕.,PUNCT➕PUNCT,n/a,,,n/a,d001.s003.t014➕d001.s003.t034,,,,,,,
d001.s003.t014,read,read,V,بخوانید,خواند#خوان,VERB,bn:00092424v,1,,Interpret something that is written or printed,d001.s003.t025,,,,,,,
d001.s003.t015,the,,X,,,,n/a,,,n/a,,,,,,,,
d001.s003.t016,Package,package,N,بسته➕بندی,بسته➕بست#بند,VERB➕NOUN,bn:00013882n,1,,A collection of things wrapped or boxed together,d001.s003.t016➕d001.s003.t017,,,,,,,
d001.s003.t017,Leaflet,leaflet,N,بروشور,بروشور,NOUN,bn:00012133n,1,,A small book usually having a paper cover,d001.s003.t015,,,,,,,
d001.s003.t018,(,,X,(,(,PUNCT,n/a,,,n/a,d001.s003.t018,,,,,,,
d001.s003.t019,also,also,R,همچنین,همچنین,CCONJ,bn:00114246r,1,,In addition,d001.s003.t019,,,,,,,
d001.s003.t020,part,part,N,بخشی,بخشی,NOUN,bn:00021395n,1,,Something determined in relation to something that includes it,d001.s003.t020,,,,,,,
d001.s003.t021,of,,X,از,از,ADP,n/a,,,n/a,d001.s003.t021,,,,,,,
d001.s003.t022,the,,X,در,در,ADP,n/a,,,n/a,d001.s003.t005,,,,,,,
d001.s003.t023,EPAR,epar,N,EPAR,EPAR,NOUN,n/a,,,n/a,d001.s003.t022,,,,,,,
d001.s003.t024,),,X,),),PUNCT,n/a,,,n/a,d001.s003.t023,,,,,,,
d001.s003.t025,or,,X,یا,یا,CCONJ,n/a,,,n/a,d001.s003.t026,,,,,,,
d001.s003.t026,contact,contact,V,تماس,تماس,NOUN,bn:00085696v,1,,Be in or establish communication with,d001.s003.t032,,,,,,,
d001.s003.t027,your,,X,خود,خود,PRON,n/a,,,n/a,d001.s003.t031,,,,,,,
d001.s003.t028,doctor,doctor,N,پزشک,پزشک,NOUN,bn:00027976n,1,,A licensed medical practitioner,d001.s003.t028,,,,,,,
d001.s003.t029,or,,X,یا,یا,CCONJ,n/a,,,n/a,d001.s003.t029,,,,,,,
d001.s003.t030,pharmacist,pharmacist,N,داروساز,داروساز,"NOUN,EZ",bn:00004992n,1,,A health professional trained in the art of preparing and dispensing drugs,d001.s003.t030,,,,,,,
d001.s003.t031,.,,X,.,.,PUNCT,n/a,,,n/a,d001.s003.t034,,,,,,,
d001.s004.t001,If,,X,اگر,اگر,SCONJ,n/a,,,n/a,d001.s004.t001,,,,,,,
d001.s004.t002,you,,X,می‌خواهید,خواست#خواه,VERB,n/a,,,n/a,d001.s004.t008,,,,,,,
d001.s004.t003,want,want,V,می‌خواهید,خواست#خواه,VERB,bn:00086682v,1,,Feel or have a desire for; want strongly,d001.s004.t008,,,,,,,
d001.s004.t004,more,more,J,بیشتری,بیشتری,ADJ,bn:00106935a,1,,(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree,d001.s004.t007,,,,,,,
d001.s004.t005,information,information,N,اطلاعات,اطلاعات,"NOUN,EZ",bn:00025314n,1,,A collection of facts from which conclusions may be drawn,d001.s004.t006,,,,,,,
d001.s004.t006,on,,X,بر,بر,ADP,n/a,,,n/a,d001.s004.t002,,,,,,,
d001.s004.t007,the,,X,,,,n/a,,,n/a,,,,,,,,
d001.s004.t008,basis,basis,N,اساس,اساس,"NOUN,EZ",bn:00008786n,1,,The fundamental assumptions from which something is begun or developed or calculated or explained,d001.s004.t003,,,,,,,
d001.s004.t009,of,,X,,,,n/a,,,n/a,,,,,,,,
d001.s004.t010,the,,X,توصیه‌های,توصیه,"NOUN,EZ",n/a,,,n/a,d001.s004.t004,,,,,,,
d001.s004.t011,CHMP,chmp,N,CHMP,CHMP,NOUN,bn:00302314n,1,,"The Committee for Medicinal Products for Human Use, formerly known as Committee for Proprietary Medicinal Products, is the European Medicines Agency's committee responsible for elaborating the agency's opinions on all issues regarding medicinal products for human use.",d001.s004.t005,,,,,,,
d001.s004.t012,recommendations,recommendation,N,توصیه‌های,توصیه,"NOUN,EZ",bn:00066562n,1,,Something (as a course of action) that is recommended as advisable,d001.s004.t004,,,,,,,
d001.s004.t013,",",,X,،➕.,،➕.,PUNCT➕PUNCT,n/a,,,n/a,d001.s004.t009➕d001.s004.t020,,,,,,,
d001.s004.t014,read,read,V,بخوانید,خواند#خوان,VERB,bn:00092424v,1,,Interpret something that is written or printed,d001.s004.t019,,,,,,,
d001.s004.t015,the,,X,را,را,ADP,n/a,,,n/a,d001.s004.t018,,,,,,,
d001.s004.t016,Scientific,scientific,J,علمی,علمی,ADJ,bn:00110175a,1,,Of or relating to the practice of science,d001.s004.t011,,,,,,,
d001.s004.t017,Discussion,discussion,N,بحث,بحث,"NOUN,EZ",bn:00027523n,1,,An extended communication (often interactive) dealing with some particular topic,d001.s004.t010,,,,,,,
d001.s004.t018,(,,X,(,(,PUNCT,n/a,,,n/a,d001.s004.t012,,,,,,,
d001.s004.t019,also,also,R,همچنین,همچنین,CCONJ,bn:00114246r,1,,In addition,d001.s004.t013,,,,,,,
d001.s004.t020,part,part,N,بخشی,بخشی,NOUN,bn:00021395n,1,,Something determined in relation to something that includes it,d001.s004.t014,,,,,,,
d001.s004.t021,of,,X,از,از,ADP,n/a,,,n/a,d001.s004.t015,,,,,,,
d001.s004.t022,the,,X,,,,n/a,,,n/a,,,,,,,,
d001.s004.t023,EPAR,epar,N,EPAR,EPAR,NOUN,n/a,,,n/a,d001.s004.t016,,,,,,,
d001.s004.t024,),,X,),),PUNCT,n/a,,,n/a,d001.s004.t017,,,,,,,
d001.s004.t025,.,,X,.,.,PUNCT,n/a,,,n/a,d001.s004.t020,,,,,,,
d001.s005.t001,What,,X,چیست,چیست,VERB,n/a,,,n/a,d001.s005.t002,,,,,,,
d001.s005.t002,is,be,V,,,,n/a,,,n/a,,,,,,,,
d001.s005.t003,Alimta,alimta,N,آلیمتا,آلیمتا,NOUN,bn:00602447n,1,,Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.,d001.s005.t001,,,,,,,
d001.s005.t004,?,,X,؟,؟,PUNCT,n/a,,,n/a,d001.s005.t003,,,,,,,
d001.s006.t001,Alimta,alimta,N,آلیمتا,آلیمتا,NOUN,bn:00602447n,1,,Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.,d001.s006.t001,,,,,,,
d001.s006.t002,is,be,V,است,است,VERB,n/a,,,n/a,d001.s006.t003,,,,,,,
d001.s006.t003,a,,X,پودری,پودر,ADJ,n/a,,,n/a,d001.s006.t002,,,,,,,
d001.s006.t004,powder,powder,N,پودری,پودر,ADJ,bn:00063926n,1,,A solid substance in the form of tiny loose particles; a solid that has been pulverized,d001.s006.t002,,,,,,,
d001.s006.t005,that,,X,که,که,SCONJ,n/a,,,n/a,d001.s006.t004,,,,,,,
d001.s006.t006,is,be,V,ساخته_می‌شود,ساخت#ساز,VERB,n/a,,,n/a,d001.s006.t015,,,,,,,
d001.s006.t007,made up,make up,V,ساخته_می‌شود,ساخت#ساز,VERB,bn:00083187v,1,,Form or compose,d001.s006.t015,,,,,,,
d001.s006.t008,into,,X,محلولی,محلول,NOUN,n/a,,,n/a,d001.s006.t007,,,,,,,
d001.s006.t009,a,,X,به,به,ADP,n/a,,,n/a,d001.s006.t005,,,,,,,
d001.s006.t010,solution,solution,N,محلولی,محلول,NOUN,bn:00072760n,1,,A homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution,d001.s006.t007,,,,,,,
d001.s006.t011,for,,X,برای,برای,"ADP,EZ",n/a,,,n/a,d001.s006.t008,,,,,,,
d001.s006.t012,infusion,infusion,N,انفوزیون,انفوزیون,NOUN,bn:00046734n,0,1,(medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force),d001.s006.t009,"Exact translation, could be ""تزریق""",bn:02996368n,"Infusion is the process of extracting chemical compounds or flavors from plant material in a solvent such as water, oil or alcohol, by allowing the material to remain suspended in the solvent over time.",wn:14848785n; wn:13500023n; wn:00323532n; wn:00248748n,a solution obtained by steeping or soaking a substance (usually in water); the process of extracting certain active properties (as a drug from a plant) by steeping or soaking (usually in water); (medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force); the act of infusing or introducing a certain modifying element or quality,,
d001.s006.t013,(,,X,(,(,PUNCT,n/a,,,n/a,d001.s006.t010,,,,,,,
d001.s006.t014,drip,drip,V,رگ,رگ,"NOUN,EZ",bn:00087306v,0,,Let or cause to fall in drops,d001.s006.t013,Shoul've aligned with row 123,bn:00079862n;bn:00079863n;bn:00011396n;bn:02920462n,"A craft designed for water transportation	;An object used as a container (especially for liquids)	;A vessel in which blood circulates	;Reg is a village in Qaleh Zari Rural District, Jolgeh-e Mazhan District, Khusf County, South Khorasan Province, Iran.",wn:02071142v; wn:01611516v,fall in drops; let or cause to fall in drops,,
d001.s006.t015,into,,X,در,در,ADP,n/a,,,n/a,d001.s006.t012,,,,,,,
d001.s006.t016,a,,X,,,,n/a,,,n/a,,,,,,,,
d001.s006.t017,vein,vein,N,قطره,قطره,NOUN,bn:00079681n,0,,A blood vessel that carries blood from the capillaries toward the heart,d001.s006.t011,Shoul've aligned with row 120,bn:00032519n;bn:00055160n;bn:00011305n;bn:00008127n;bn:00028709n;bn:00548470n;bn:00040866n;bn:01807271n,"A method of irrigating the eye used by ophthalmologists	;A British imperial capacity measure (liquid or dry) equal to 1/60th fluid dram or 0.059194 cubic centimeters	;An indistinct shapeless form	;A compact mass	;A small indefinite quantity (especially of a liquid)--Kipling	;The drop is an approximated unit of measure of volume, the amount dispensed as one drop from a dropper or drip chamber.	;A lump or chunk of raw meat	;A drop in popular music, especially electronic dance music styles, is a point in a music track where a switch of rhythm or bass line occurs and usually follows a recognizable build section and break.",wn:05418717n; wn:07089622n; wn:13098186n; wn:09470222n; wn:02468735n,a blood vessel that carries blood from the capillaries toward the heart; a distinctive style or manner; any of the vascular bundles or ribs that form the branching framework of conducting and supporting tissues in a leaf or other plant organ; a layer of ore between layers of rock; one of the horny ribs that stiffen and support the wing of an insect,,
d001.s006.t018,),,X,),),PUNCT,n/a,,,n/a,d001.s006.t014,,,,,,,
d001.s006.t019,.,,X,.,.,PUNCT,n/a,,,n/a,d001.s006.t016,,,,,,,
d001.s007.t001,It,,X,,,,n/a,,,n/a,,,,,,,,
d001.s007.t002,contains,contain,V,حاوی➕است,حاوی➕است,"ADJ,EZ➕VERB",bn:00085499v,1,,Include or contain; have as a component,d001.s007.t001➕d001.s007.t005,,,,,,,
d001.s007.t003,the,,X,,,,n/a,,,n/a,,,,,,,,
d001.s007.t004,active,active,J,فعال,فعال,"ADJ,EZ",bn:00096387a,1,,Exerting influence or producing a change or effect,d001.s007.t003,,,,,,,
d001.s007.t005,substance,substance,N,ماده,ماده,"NOUN,EZ",bn:00074986n,1,,Material of a particular kind or constitution,d001.s007.t002,,,,,,,
d001.s007.t006,pemetrexed,pemetrexed,N,پمترکسد,پمترکسد,NOUN,bn:00602447n,1,,Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.,d001.s007.t004,,,,,,,
d001.s007.t007,.,,X,.,.,PUNCT,n/a,,,n/a,d001.s007.t006,,,,,,,
d001.s008.t001,What,,X,چه,چه,DET,n/a,,,n/a,d001.s008.t003,,,,,,,
d001.s008.t002,is,be,V,می‌شود,شد#شو,VERB,n/a,,,n/a,d001.s008.t006,,,,,,,
d001.s008.t003,Alimta,alimta,N,آلیمتا,آلیمتا,NOUN,bn:00602447n,1,,Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.,d001.s008.t001,,,,,,,
d001.s008.t004,used,use,V,استفاده,استفاده,NOUN,bn:00082705v,1,,Put into service; make work or employ for a particular purpose or for its inherent or natural purpose,d001.s008.t005,,,,,,,
d001.s008.t005,for,,X,برای,برای,"ADP,EZ",n/a,,,n/a,d001.s008.t002,,,,,,,
d001.s008.t006,?,,X,؟,؟,PUNCT,n/a,,,n/a,d001.s008.t007,,,,,,,
d001.s009.t001,Alimta,alimta,N,آلیمتا,آلیمتا,NOUN,bn:00602447n,1,,Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.,d001.s009.t001,,,,,,,
d001.s009.t002,is,be,V,می‌شود,شد#شو,VERB,n/a,,,n/a,d001.s009.t008,,,,,,,
d001.s009.t003,used,use,V,استفاده,استفاده,NOUN,bn:00082705v,1,,Put into service; make work or employ for a particular purpose or for its inherent or natural purpose,d001.s009.t007,,,,,,,
d001.s009.t004,to,,X,برای,برای,"ADP,EZ",n/a,,,n/a,d001.s009.t002,,,,,,,
d001.s009.t005,treat,treat,V,درمان,درمان,"NOUN,EZ",bn:00084532v,1,,Provide treatment for,d001.s009.t003,,,,,,,
d001.s009.t006,two,,X,دو,دو,NUM,n/a,,,n/a,d001.s009.t004,,,,,,,
d001.s009.t007,types,type,N,نوع,نوع,NOUN,bn:00078798n,1,,A subdivision of a particular kind of thing,d001.s009.t005,,,,,,,
d001.s009.t008,of,,X,,,,n/a,,,n/a,,,,,,,,
d001.s009.t009,cancer,cancer,N,سرطان,سرطان,NOUN,bn:00015180n,1,,Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream,d001.s009.t006,,,,,,,
d001.s009.t010,:,,X,:,:,PUNCT,n/a,,,n/a,d001.s009.t009,,,,,,,
d001.s009.t011,pleural,pleural,J,پلور,پلور,NOUN,bn:00108692a,1,,Of or relating to the pleura or the walls of the thorax,d001.s009.t011,,,,,,,
d001.s009.t012,mesothelioma,mesothelioma,N,مزوتلیومای,مزوتلیومای,"NOUN,EZ",bn:00054512n,1,,A form of carcinoma of the mesothelium lining lungs or abdomen or heart; usually associated with exposure to asbestos dust,d001.s009.t010,exact translation. But not a real word in FA. ,,,,,,
d001.s009.t013,(,,X,(,(,PUNCT,n/a,,,n/a,d001.s009.t012,,,,,,,
d001.s009.t014,cancer,cancer,N,سرطان,سرطان,"NOUN,EZ",bn:00015180n,1,,Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream,d001.s009.t013,,,,,,,
d001.s009.t015,of,,X,,,,n/a,,,n/a,,,,,,,,
d001.s009.t016,the,,X,در,در,ADP,n/a,,,n/a,d001.s009.t022,,,,,,,
d001.s009.t017,lining,lining,N,پوشش,پوشش,"NOUN,EZ",bn:00051366n,1,,A protective covering that protects an inside surface,d001.s009.t014,,,,,,,
d001.s009.t018,of,,X,,,,n/a,,,n/a,,,,,,,,
d001.s009.t019,the,,X,,,,n/a,,,n/a,,,,,,,,
d001.s009.t020,lungs,lung,N,ریه,ریه,NOUN,bn:00052341n,1,,Either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood,d001.s009.t015,,,,,,,
d001.s009.t021,that,,X,که,که,SCONJ,n/a,,,n/a,d001.s009.t016,,,,,,,
d001.s009.t022,is,be,V,می‌شود,شد#شو,VERB,n/a,,,n/a,d001.s009.t026,,,,,,,
d001.s009.t023,usually,usually,R,معمولا,معمولا,ADV,bn:00114778r,1,,Under normal conditions,d001.s009.t017,,,,,,,
d001.s009.t024,caused,cause,V,ایجاد,ایجاد,NOUN,bn:00084069v,1,,"Cause to happen, occur or exist",d001.s009.t025,,,,,,,
d001.s009.t025,by,,X,اثر,اثر,"NOUN,EZ",n/a,,,n/a,d001.s009.t019,,,,,,,
d001.s009.t026,exposure,exposure,N,معرض,معرض,"NOUN,EZ",bn:00032379n,0,,The state of being vulnerable or exposed,d001.s009.t023," :Partially correct, gold is قرار گرفتن در معرض which should be multiple tokens. ",,,wn:05043973n; wn:00157463n; wn:07215377n; wn:05934123n; wn:14543931n; wn:13640206n; wn:03925226n; wn:00907340n; wn:00522537n; wn:00204659n,vulnerability to the elements; to the action of heat or cold or wind or rain;  or; the act of subjecting someone to an influencing experience; the disclosure of something secret; aspect resulting from the direction a building or window faces; the state of being vulnerable or exposed; the intensity of light falling on a photographic film or plate; a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material; the act of exposing film to light; presentation to view in an open or public manner; abandoning without shelter or protection (as by leaving as infant out in the open),,
d001.s009.t027,to,,X,گرفتن,گرفتن,NOUN,n/a,,,n/a,d001.s009.t021,,,,,,,
d001.s009.t028,asbestos,asbestos,N,آزبست,آزبست,NOUN,bn:00006236n,1,,A fibrous amphibole; used for making fireproof articles; inhaling fibers can cause asbestosis or lung cancer,d001.s009.t024,,,,,,,
d001.s009.t029,),,X,),),PUNCT,n/a,,,n/a,d001.s009.t027,,,,,,,
d001.s009.t030,.,,X,.,.,PUNCT,n/a,,,n/a,d001.s009.t028,,,,,,,
d001.s010.t001,Alimta,alimta,N,آلیمتا,آلیمتا,NOUN,bn:00602447n,1,,Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.,d001.s010.t001,,,,,,,
d001.s010.t002,is,be,V,می‌شود,شد#شو,VERB,n/a,,,n/a,d001.s010.t044,,,,,,,
d001.s010.t003,used,use,V,استفاده,استفاده,NOUN,bn:00082705v,1,,Put into service; make work or employ for a particular purpose or for its inherent or natural purpose,d001.s010.t043,,,,,,,
d001.s010.t004,together,together,R,همراه,همراه,NOUN,n/a,,,n/a,d001.s010.t002,,,,,,,
d001.s010.t005,with,,X,با,با,ADP,n/a,,,n/a,d001.s010.t003,,,,,,,
d001.s010.t006,cisplatin,cisplatin,N,سیس➕پلاتین,سیس➕پلاتین,NOUN➕NOUN,bn:00577781n,1,,Cisplatin is a chemotherapy medication used to treat a number of cancers.,d001.s010.t004➕d001.s010.t005,,,,,,,
d001.s010.t007,(,,X,(,(,PUNCT,n/a,,,n/a,d001.s010.t006,,,,,,,
d001.s010.t008,another,,X,دیگر,دیگر,PRON,n/a,,,n/a,d001.s010.t008,,,,,,,
d001.s010.t009,anticancer,anticancer,J,ضد➕سرطان,ضد➕سرطان,"NOUN,EZ➕NOUN",bn:00097220a,1,,Used in the treatment of cancer,d001.s010.t011➕d001.s010.t012,,,,,,,
d001.s010.t010,medicine,medicine,N,داروهای,دارو,"NOUN,EZ",bn:00054128n,1,,(medicine) something that treats or prevents or alleviates the symptoms of disease,d001.s010.t010,,,,,,,
d001.s010.t011,),,X,),),PUNCT,n/a,,,n/a,d001.s010.t013,,,,,,,
d001.s010.t012,when,,X,زمانی,زمانی,NOUN,n/a,,,n/a,d001.s010.t014,,,,,,,
d001.s010.t013,the,,X,,,,n/a,,,n/a,,,,,,,,
d001.s010.t014,cancer,cancer,N,سرطان,سرطان,"NOUN,EZ",bn:00015180n,1,,Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream,d001.s010.t016,,,,,,,
d001.s010.t015,is,be,V,که,که,SCONJ,n/a,,,n/a,d001.s010.t015,,,,,,,
d001.s010.t016,unresectable,unresectable,J,غیرقابل➕برداشت,غیرقابل➕برداشت,ADJ➕VERB,n/a,,,n/a,d001.s010.t017➕d001.s010.t018,,,,,,,
d001.s010.t017,(,,X,(,(,PUNCT,n/a,,,n/a,d001.s010.t019,,,,,,,
